date,open,high,low,close,volume
202404121038 ,17729,17729,17724,17729,1927
202404121039 ,17729,17729,17724,17729,306
202404121040 ,17729,17729,17724,17729,6928
202404121041 ,17724,17729,17724,17729,1270
202404121042 ,17729,17729,17724,17729,1219
202404121043 ,17729,17729,17724,17729,1026
202404121044 ,17729,17729,17724,17729,2747
202404121045 ,17729,17729,17724,17729,1503
202404121046 ,17729,17729,17724,17729,1531
202404121047 ,17729,17729,17724,17729,487
202404121048 ,17729,17729,17724,17729,1806
202404121049 ,17729,17729,17724,17729,621
202404121050 ,17729,17729,17724,17729,710
202404121051 ,17729,17729,17724,17729,1398
202404121052 ,17729,17729,17724,17724,2523
202404121053 ,17724,17729,17724,17729,780
202404121054 ,17729,17729,17724,17729,3298
202404121055 ,17724,17729,17724,17729,953
202404121056 ,17729,17729,17724,17729,1965
202404121057 ,17729,17729,17724,17724,780
202404121058 ,17729,17729,17724,17729,3310
202404121059 ,17724,17729,17724,17729,1359
202404121100 ,17729,17729,17724,17729,488
202404121101 ,17729,17729,17724,17724,3032
202404121102 ,17724,17729,17724,17729,1092
202404121103 ,17729,17729,17724,17729,441
202404121104 ,17729,17729,17724,17729,1446
202404121105 ,17729,17729,17724,17729,2962
202404121106 ,17729,17729,17724,17729,980
202404121107 ,17729,17729,17724,17729,2861
202404121108 ,17729,17729,17724,17724,1732
202404121109 ,17724,17734,17724,17734,8334
202404121110 ,17734,17734,17729,17734,570
202404121111 ,17734,17734,17724,17734,9461
202404121112 ,17734,17734,17724,17729,2157
202404121113 ,17729,17729,17724,17729,884
202404121114 ,17729,17729,17724,17729,1606
202404121115 ,17734,17734,17724,17724,2816
202404121116 ,17729,17734,17724,17729,1130
202404121117 ,17729,17734,17724,17729,969
202404121118 ,17729,17729,17724,17729,3117
202404121119 ,17729,17729,17724,17729,279
202404121120 ,17724,17729,17724,17729,2875
202404121121 ,17729,17729,17724,17724,645
202404121122 ,17724,17729,17724,17729,893
202404121123 ,17729,17729,17724,17729,818
202404121124 ,17729,17729,17724,17729,1735
202404121125 ,17729,17729,17724,17729,1959
202404121126 ,17729,17729,17724,17729,1242
202404121127 ,17729,17734,17729,17734,33659
202404121128 ,17734,17734,17729,17734,455
202404121129 ,17734,17734,17734,17734,1666
202404121130 ,17734,17734,17729,17734,1108
202404121131 ,17734,17734,17729,17734,1555
202404121132 ,17734,17734,17729,17734,1301
202404121133 ,17734,17734,17729,17734,576
202404121134 ,17734,17734,17729,17729,779
202404121135 ,17734,17734,17729,17734,1538
202404121136 ,17734,17734,17729,17734,549
202404121137 ,17729,17734,17724,17734,28937
202404121138 ,17729,17734,17729,17729,3811
202404121139 ,17734,17734,17729,17729,2277
202404121140 ,17734,17734,17729,17734,1316
202404121141 ,17734,17734,17729,17734,864
202404121142 ,17734,17734,17729,17734,753
202404121143 ,17734,17734,17729,17734,473
202404121144 ,17734,17734,17729,17734,6865
202404121145 ,17734,17734,17729,17734,1356
202404121146 ,17734,17734,17729,17734,895
202404121147 ,17734,17734,17729,17734,1148
202404121148 ,17734,17734,17729,17734,455
202404121149 ,17734,17734,17729,17729,292
202404121150 ,17734,17734,17729,17729,337
202404121151 ,17734,17734,17729,17729,724
202404121152 ,17734,17734,17729,17734,1663
202404121153 ,17734,17734,17729,17734,568
202404121154 ,17734,17734,17729,17734,2346
